cohort,target,applies,rule,c_correct_mean,c_correct_min,c_correct_max,binding,all_attainable,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
beta,0.9,energy,L,0.5,0.5,0.5,energy,True,2288,479,44,35,435,0.9081419624217119,0.925531914893617,0.9255861373366465,0.891430504798635,7.024038461538462,0,0.0,1.0
beta,0.9,energy,E,0.5,0.5,0.5,energy,True,2288,479,44,35,435,0.9081419624217119,0.925531914893617,0.9255861373366465,0.891430504798635,7.024038461538462,0,0.0,1.0
beta,0.9,day,L,0.505,0.5,0.53,day,True,2288,478,44,35,434,0.9079497907949791,0.9234042553191489,0.9255660657184797,0.8911707987515651,7.024038461538462,2,0.3192744755244755,0.9991258741258742
beta,0.9,day,E,0.511875,0.5,0.595,day,True,2288,477,44,33,433,0.9077568134171907,0.9212765957446809,0.9265132548363042,0.8908140723350648,7.024038461538462,6,0.9578234265734266,0.9973776223776224
beta,0.9,both,L,0.505,0.5,0.53,both,True,2288,478,44,35,434,0.9079497907949791,0.9234042553191489,0.9255660657184797,0.8911707987515651,7.024038461538462,2,0.3192744755244755,0.9991258741258742
beta,0.9,both,E,0.511875,0.5,0.595,both,True,2288,477,44,33,433,0.9077568134171907,0.9212765957446809,0.9265132548363042,0.8908140723350648,7.024038461538462,6,0.9578234265734266,0.9973776223776224
beta,0.925,energy,L,0.5,0.5,0.5,energy,True,2288,479,44,35,435,0.9081419624217119,0.925531914893617,0.9255861373366465,0.891430504798635,7.024038461538462,0,0.0,1.0
beta,0.925,energy,E,0.546875,0.5,0.655,energy,True,2288,469,41,33,428,0.9125799573560768,0.9106382978723404,0.926768373076571,0.8868938606890965,6.545126748251748,22,3.512019230769231,0.9903846153846154
beta,0.925,day,L,0.6625,0.64,0.705,day,True,2288,450,25,26,425,0.9444444444444444,0.9042553191489362,0.9381492101799256,0.8965393699013107,3.990930944055944,67,10.69569493006993,0.9707167832167832
beta,0.925,day,E,0.60125,0.51,0.655,day,True,2288,460,33,30,427,0.9282608695652174,0.9085106382978724,0.9286825258177178,0.8881544490752932,5.268028846153846,38,6.066215034965035,0.9833916083916084
beta,0.925,both,L,0.6625,0.64,0.705,day,True,2288,450,25,26,425,0.9444444444444444,0.9042553191489362,0.9381492101799256,0.8965393699013107,3.990930944055944,67,10.69569493006993,0.9707167832167832
beta,0.925,both,E,0.60125,0.51,0.655,day,True,2288,460,33,30,427,0.9282608695652174,0.9085106382978724,0.9286825258177178,0.8881544490752932,5.268028846153846,38,6.066215034965035,0.9833916083916084
beta,0.95,energy,L,0.7575000000000001,0.665,0.795,energy,True,2288,425,16,23,409,0.9623529411764706,0.8702127659574468,0.9421181408517968,0.8908888871703403,2.554195804195804,114,18.198645104895107,0.9501748251748252
beta,0.95,energy,E,0.8025,0.655,0.835,energy,True,2288,398,16,18,382,0.9597989949748744,0.8127659574468085,0.9402061539552983,0.8572866238222312,2.554195804195804,159,25.382320804195803,0.930506993006993
beta,0.95,day,L,0.8331249999999999,0.82,0.85,day,True,2288,387,11,16,376,0.9715762273901809,0.8,0.9520457811548022,0.8575279020035306,1.7560096153846154,178,28.415428321678323,0.9222027972027972
beta,0.95,day,E,0.6881250000000001,0.61,0.765,day,True,2288,445,27,23,418,0.9393258426966292,0.8893617021276595,0.9328632932772749,0.8829588711453527,4.31020541958042,76,12.13243006993007,0.9667832167832168
beta,0.95,both,L,0.8331249999999999,0.82,0.85,day,True,2288,387,11,16,376,0.9715762273901809,0.8,0.9520457811548022,0.8575279020035306,1.7560096153846154,178,28.415428321678323,0.9222027972027972
beta,0.95,both,E,0.8025,0.655,0.835,energy,True,2288,398,16,18,382,0.9597989949748744,0.8127659574468085,0.9402061539552983,0.8572866238222312,2.554195804195804,159,25.382320804195803,0.930506993006993
beta,0.975,energy,L,0.94875,0.94,0.955,energy,True,2288,235,0,9,235,1.0,0.5,0.9777138940699429,0.6689569929720015,0.0,399,63.69525786713287,0.8256118881118881
beta,0.975,energy,E,0.949375,0.925,0.99,energy,True,2288,212,0,9,212,1.0,0.451063829787234,0.9693119891392922,0.5807814311446957,0.0,426,68.0054632867133,0.8138111888111889
beta,0.975,day,L,0.9506249999999999,0.945,0.955,day,True,2288,233,0,9,233,1.0,0.4957446808510638,0.9798774175969076,0.661760960981573,0.0,405,64.6530812937063,0.8229895104895105
beta,0.975,day,E,0.8518749999999999,0.745,0.88,day,True,2288,369,13,15,356,0.964769647696477,0.7574468085106383,0.9471109124212054,0.8229419729058906,2.075284090909091,207,33.04490821678322,0.909527972027972
beta,0.975,both,L,0.9506249999999999,0.945,0.955,both,True,2288,233,0,9,233,1.0,0.4957446808510638,0.9798774175969076,0.661760960981573,0.0,405,64.6530812937063,0.8229895104895105
beta,0.975,both,E,0.949375,0.925,0.99,energy,True,2288,212,0,9,212,1.0,0.451063829787234,0.9693119891392922,0.5807814311446957,0.0,426,68.0054632867133,0.8138111888111889
beta,0.99,energy,L,0.99,0.99,0.99,energy,True,2288,21,0,6,21,1.0,0.04468085106382979,0.998668691369528,0.05524192145728572,0.0,690,110.14969405594405,0.6984265734265734
beta,0.99,energy,E,0.985625,0.955,0.99,energy,True,2288,70,0,7,70,1.0,0.14893617021276595,0.9758936366612315,0.3252933061086915,0.0,638,101.8485576923077,0.7211538461538461
beta,0.99,day,L,0.99,0.99,0.99,day,True,2288,21,0,6,21,1.0,0.04468085106382979,0.998668691369528,0.05524192145728572,0.0,690,110.14969405594405,0.6984265734265734
beta,0.99,day,E,0.920625,0.87,0.945,day,True,2288,291,5,12,286,0.9828178694158075,0.6085106382978723,0.9621242568295737,0.7539697942731648,0.7981861888111889,325,51.88210227272727,0.8579545454545454
beta,0.99,both,L,0.99,0.99,0.99,both,True,2288,21,0,6,21,1.0,0.04468085106382979,0.998668691369528,0.05524192145728572,0.0,690,110.14969405594405,0.6984265734265734
beta,0.99,both,E,0.985625,0.955,0.99,energy,True,2288,70,0,7,70,1.0,0.14893617021276595,0.9758936366612315,0.3252933061086915,0.0,638,101.8485576923077,0.7211538461538461
alpha,0.9,energy,L,0.5,0.5,0.5,energy,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.9,energy,E,0.9855,0.975,0.995,energy,False,10393,2784,30,1,2754,0.9892241379310345,0.8145519077196096,0.9037393842442876,0.8784580583065059,1.0543154045992496,2989,105.04495814490522,0.7124025786587126
alpha,0.9,day,L,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.9,day,E,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.9,both,L,0.5,0.5,0.5,both,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.9,both,E,0.9855,0.975,0.995,energy,False,10393,2784,30,1,2754,0.9892241379310345,0.8145519077196096,0.9037393842442876,0.8784580583065059,1.0543154045992496,2989,105.04495814490522,0.7124025786587126
alpha,0.925,energy,L,0.5,0.5,0.5,energy,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.925,energy,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.925,day,L,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.925,day,E,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.925,both,L,0.5,0.5,0.5,both,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.925,both,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.95,energy,L,0.5,0.5,0.5,energy,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
